x	y	car_pre_inf
503667	2124997	5.225224654
503767	2124997	5.232878308
503867	2124997	5.240579878
503967	2124997	5.248329201
504067	2124997	5.256126111
504167	2124997	5.263970444
504267	2124997	5.271862035
504367	2124997	5.27980072
504467	2124997	5.287786333
504567	2124997	5.295818708
504667	2124997	5.303897682
504767	2124997	5.312023087
504867	2124997	5.320194759
504967	2124997	5.328412531
505067	2124997	5.336676238
505167	2124997	5.344985713
505267	2124997	5.353340791
505367	2124997	5.361741306
505467	2124997	5.370187091
505567	2124997	5.378677979
505667	2124997	5.387213805
505767	2124997	5.395794402
505867	2124997	5.404419604
505967	2124997	5.413089243
506067	2124997	5.421803154
506167	2124997	5.43056117
506267	2124997	5.439363124
506367	2124997	5.448208849
502067	2125097	5.093795176
502167	2125097	5.100678213
502267	2125097	5.107611846
502367	2125097	5.114595912
502467	2125097	5.121630251
502567	2125097	5.128714702
502667	2125097	5.135849103
502767	2125097	5.143033292
502867	2125097	5.150267107
502967	2125097	5.157550384
503067	2125097	5.164882962
503167	2125097	5.172264677
503267	2125097	5.179695365
503367	2125097	5.187174863
503467	2125097	5.194703007
503567	2125097	5.202279632
503667	2125097	5.209904574
503767	2125097	5.217577669
503867	2125097	5.225298751
503967	2125097	5.233067655
504067	2125097	5.240884216
504167	2125097	5.248748269
504267	2125097	5.256659647
504367	2125097	5.264618186
504467	2125097	5.272623718
504567	2125097	5.280676078
504667	2125097	5.2887751
504767	2125097	5.296920617
504867	2125097	5.305112462
504967	2125097	5.313350469
505067	2125097	5.321634471
505167	2125097	5.329964301
505267	2125097	5.338339793
505367	2125097	5.346760779
505467	2125097	5.355227091
505567	2125097	5.363738564
505667	2125097	5.372295029
505767	2125097	5.380896319
505867	2125097	5.389542268
505967	2125097	5.398232707
506067	2125097	5.406967469
506167	2125097	5.415746387
506267	2125097	5.424569293
506367	2125097	5.433436019
501967	2125197	5.071340811
502067	2125197	5.078191247
502167	2125197	5.085092525
502267	2125197	5.092044484
502367	2125197	5.099046963
502467	2125197	5.106099798
502567	2125197	5.113202829
502667	2125197	5.120355892
502767	2125197	5.127558825
502867	2125197	5.134811464
502967	2125197	5.142113646
503067	2125197	5.149465207
503167	2125197	5.156865982
503267	2125197	5.164315807
503367	2125197	5.171814518
503467	2125197	5.17936195
503567	2125197	5.186957937
503667	2125197	5.194602314
503767	2125197	5.202294916
503867	2125197	5.210035576
503967	2125197	5.217824129
504067	2125197	5.225660408
504167	2125197	5.233544247
504267	2125197	5.241475479
504367	2125197	5.249453938
504467	2125197	5.257479457
504567	2125197	5.265551868
504667	2125197	5.273671005
504767	2125197	5.281836699
504867	2125197	5.290048785
504967	2125197	5.298307093
505067	2125197	5.306611457
505167	2125197	5.314961708
505267	2125197	5.323357679
505367	2125197	5.331799202
505467	2125197	5.340286109
505567	2125197	5.348818232
505667	2125197	5.357395402
505767	2125197	5.366017452
505867	2125197	5.374684213
505967	2125197	5.383395517
506067	2125197	5.392151195
506167	2125197	5.40095108
506267	2125197	5.409795004
501867	2125297	5.048917981
501967	2125297	5.055735545
502067	2125297	5.062604201
502167	2125297	5.069523785
502267	2125297	5.076494137
502367	2125297	5.083515094
502467	2125297	5.090586493
502567	2125297	5.09770817
502667	2125297	5.104879963
502767	2125297	5.112101706
502867	2125297	5.119373236
502967	2125297	5.126694389
503067	2125297	5.134064999
503167	2125297	5.141484901
503267	2125297	5.148953931
503367	2125297	5.156471922
503467	2125297	5.164038708
503567	2125297	5.171654124
503667	2125297	5.179318003
503767	2125297	5.187030179
503867	2125297	5.194790484
503967	2125297	5.202598753
504067	2125297	5.210454817
504167	2125297	5.218358509
504267	2125297	5.226309662
504367	2125297	5.234308108
504467	2125297	5.24235368
504567	2125297	5.250446209
504667	2125297	5.258585527
504767	2125297	5.266771466
504867	2125297	5.275003858
504967	2125297	5.283282534
505067	2125297	5.291607326
505167	2125297	5.299978065
505267	2125297	5.308394582
505367	2125297	5.316856709
505467	2125297	5.325364276
505567	2125297	5.333917115
505667	2125297	5.342515056
505767	2125297	5.351157931
505867	2125297	5.35984557
505967	2125297	5.368577805
506067	2125297	5.377354466
506167	2125297	5.386175384
506267	2125297	5.39504039
501767	2125397	5.026527044
501867	2125397	5.033311463
501967	2125397	5.040147224
502067	2125397	5.047034165
502167	2125397	5.053972123
502267	2125397	5.060960935
502367	2125397	5.068000437
502467	2125397	5.075090466
502567	2125397	5.082230856
502667	2125397	5.089421444
502767	2125397	5.096662065
502867	2125397	5.103952553
502967	2125397	5.111292743
503067	2125397	5.11868247
503167	2125397	5.126121567
503267	2125397	5.133609867
503367	2125397	5.141147205
503467	2125397	5.148733414
503567	2125397	5.156368326
503667	2125397	5.164051774
503767	2125397	5.17178359
503867	2125397	5.179563608
503967	2125397	5.187391659
504067	2125397	5.195267575
504167	2125397	5.203191187
504267	2125397	5.211162328
504367	2125397	5.219180828
504467	2125397	5.22724652
504567	2125397	5.235359233
504667	2125397	5.2435188
504767	2125397	5.251725051
504867	2125397	5.259977816
504967	2125397	5.268276926
505067	2125397	5.276622213
505167	2125397	5.285013505
505267	2125397	5.293450635
505367	2125397	5.301933431
505467	2125397	5.310461725
505567	2125397	5.319035346
505667	2125397	5.327654124
505767	2125397	5.33631789
505867	2125397	5.345026474
505967	2125397	5.353779705
506067	2125397	5.362577414
506167	2125397	5.371419431
506267	2125397	5.380305585
501667	2125497	5.004168361
501767	2125497	5.01091936
501867	2125497	5.017721953
501967	2125497	5.024575979
502067	2125497	5.031481272
502167	2125497	5.03843767
502267	2125497	5.045445008
502367	2125497	5.052503122
502467	2125497	5.059611847
502567	2125497	5.066771018
502667	2125497	5.073980469
502767	2125497	5.081240034
502867	2125497	5.088549547
502967	2125497	5.095908842
503067	2125497	5.103317752
503167	2125497	5.11077611
503267	2125497	5.118283749
503367	2125497	5.125840501
503467	2125497	5.133446199
503567	2125497	5.141100674
503667	2125497	5.148803758
503767	2125497	5.156555283
503867	2125497	5.16435508
503967	2125497	5.17220298
504067	2125497	5.180098815
504167	2125497	5.188042415
504267	2125497	5.19603361
504367	2125497	5.204072232
504467	2125497	5.21215811
504567	2125497	5.220291075
504667	2125497	5.228470957
504767	2125497	5.236697585
504867	2125497	5.244970791
504967	2125497	5.253290402
