x	y	coe_com_sup
502067	2125897	0.878789617
502167	2125897	0.873966937
502267	2125897	0.869141415
502367	2125897	0.864314367
502467	2125897	0.859487116
502567	2125897	0.85466099
502667	2125897	0.84983732
502767	2125897	0.845017442
502867	2125897	0.840202693
502967	2125897	0.835394414
503067	2125897	0.830593946
503167	2125897	0.825802632
503267	2125897	0.821021817
503367	2125897	0.816252842
503467	2125897	0.81149705
503567	2125897	0.80675578
503667	2125897	0.80203037
503767	2125897	0.797322154
503867	2125897	0.792632462
503967	2125897	0.787962618
504067	2125897	0.78331394
504167	2125897	0.778687741
504267	2125897	0.774085325
504367	2125897	0.769507988
504467	2125897	0.764957017
504567	2125897	0.760433685
504667	2125897	0.75593926
504767	2125897	0.751474992
504867	2125897	0.747042121
504967	2125897	0.742641872
505067	2125897	0.738275454
505167	2125897	0.733944061
505267	2125897	0.72964887
505367	2125897	0.72539104
505467	2125897	0.72117171
505567	2125897	0.716991999
505667	2125897	0.712853007
505767	2125897	0.70875581
505867	2125897	0.704701463
505967	2125897	0.700690997
506067	2125897	0.696725416
506167	2125897	0.692805703
501267	2125997	0.920363086
501367	2125997	0.91555
501467	2125997	0.910723522
501567	2125997	0.90588493
501667	2125997	0.90103551
501767	2125997	0.896176558
501867	2125997	0.891309377
501967	2125997	0.886435278
502067	2125997	0.881555582
502167	2125997	0.876671613
502267	2125997	0.871784705
502367	2125997	0.866896196
502467	2125997	0.86200743
502567	2125997	0.857119757
502667	2125997	0.85223453
502767	2125997	0.847353107
502867	2125997	0.842476849
502967	2125997	0.837607119
503067	2125997	0.832745284
503167	2125997	0.827892709
503267	2125997	0.823050762
503367	2125997	0.818220811
503467	2125997	0.813404222
503567	2125997	0.80860236
503667	2125997	0.803816588
503767	2125997	0.799048265
503867	2125997	0.794298745
503967	2125997	0.78956938
504067	2125997	0.784861514
504167	2125997	0.780176484
504267	2125997	0.775515622
504367	2125997	0.770880248
504467	2125997	0.766271675
504567	2125997	0.761691205
504667	2125997	0.757140129
504767	2125997	0.752619724
504867	2125997	0.748131256
504967	2125997	0.743675975
505067	2125997	0.739255116
505167	2125997	0.734869898
505267	2125997	0.730521523
505367	2125997	0.726211174
505467	2125997	0.721940015
505567	2125997	0.717709189
505667	2125997	0.713519819
505767	2125997	0.709373004
505867	2125997	0.705269823
505967	2125997	0.701211326
506067	2125997	0.697198541
501267	2126097	0.923646866
501367	2126097	0.918773274
501467	2126097	0.913886028
501567	2126097	0.908986427
501667	2126097	0.904075774
501767	2126097	0.899155384
501867	2126097	0.89422658
501967	2126097	0.889290694
502067	2126097	0.884349065
502167	2126097	0.879403039
502267	2126097	0.87445397
502367	2126097	0.869503218
502467	2126097	0.86455215
502567	2126097	0.859602137
502667	2126097	0.854654555
502767	2126097	0.849710785
502867	2126097	0.844772211
502967	2126097	0.83984022
503067	2126097	0.834916201
503167	2126097	0.830001547
503267	2126097	0.82509765
503367	2126097	0.8202059
503467	2126097	0.815327691
503567	2126097	0.810464412
503667	2126097	0.805617453
503767	2126097	0.800788197
503867	2126097	0.795978027
503967	2126097	0.791188319
504067	2126097	0.786420444
504167	2126097	0.781675766
504267	2126097	0.776955643
504367	2126097	0.772261422
504467	2126097	0.767594444
504567	2126097	0.762956036
504667	2126097	0.758347515
504767	2126097	0.753770188
504867	2126097	0.749225344
504967	2126097	0.744714262
505067	2126097	0.740238201
505167	2126097	0.735798408
505267	2126097	0.731396109
505367	2126097	0.727032513
505467	2126097	0.72270881
505567	2126097	0.718426166
505667	2126097	0.71418573
505767	2126097	0.709988623
505867	2126097	0.705835948
505967	2126097	0.701728778
506067	2126097	0.697668164
501167	2126197	0.931884124
501267	2126197	0.926964538
501367	2126197	0.922029726
501467	2126197	0.917080993
501567	2126197	0.912119652
501667	2126197	0.907147027
501767	2126197	0.902164453
501867	2126197	0.897173272
501967	2126197	0.892174835
502067	2126197	0.887170503
502167	2126197	0.882161643
502267	2126197	0.877149629
502367	2126197	0.872135844
502467	2126197	0.867121677
502567	2126197	0.862108521
502667	2126197	0.857097775
502767	2126197	0.852090844
502867	2126197	0.847089135
502967	2126197	0.84209406
503067	2126197	0.837107033
503167	2126197	0.83212947
503267	2126197	0.827162789
503367	2126197	0.822208406
503467	2126197	0.81726774
503567	2126197	0.812342207
503667	2126197	0.807433221
503767	2126197	0.802542195
503867	2126197	0.797670536
503967	2126197	0.792819648
504067	2126197	0.78799093
504167	2126197	0.783185772
504267	2126197	0.778405559
504367	2126197	0.773651667
504467	2126197	0.768925463
504567	2126197	0.764228302
504667	2126197	0.75956153
504767	2126197	0.754926478
504867	2126197	0.750324466
504967	2126197	0.745756797
505067	2126197	0.74122476
505167	2126197	0.736729626
505267	2126197	0.732272649
505367	2126197	0.727855064
505467	2126197	0.723478086
505567	2126197	0.719142908
505667	2126197	0.714850702
505767	2126197	0.710602616
505867	2126197	0.706399774
505967	2126197	0.702243276
506067	2126197	0.698134192
501067	2126297	0.940262231
501167	2126297	0.935297837
501267	2126297	0.93031661
501367	2126297	0.92531986
501467	2126297	0.92030891
501567	2126297	0.915285093
501667	2126297	0.910249752
501767	2126297	0.905204239
501867	2126297	0.900149918
501967	2126297	0.895088161
502067	2126297	0.890020347
502167	2126297	0.884947866
502267	2126297	0.879872115
502367	2126297	0.874794497
502467	2126297	0.869716423
502567	2126297	0.86463931
502667	2126297	0.859564582
