x	y	car_pre_dur
502767	2125097	5.90295145
502867	2125097	5.911653769
502967	2125097	5.920401074
503067	2125097	5.929193133
503167	2125097	5.938029715
503267	2125097	5.946910591
503367	2125097	5.955835532
503467	2125097	5.964804311
503567	2125097	5.973816702
503667	2125097	5.982872478
503767	2125097	5.991971417
503867	2125097	6.001113294
503967	2125097	6.010297888
504067	2125097	6.019524978
504167	2125097	6.028794345
504267	2125097	6.038105769
504367	2125097	6.047459033
504467	2125097	6.056853921
504567	2125097	6.066290217
504667	2125097	6.075767707
504767	2125097	6.085286178
504867	2125097	6.094845418
504967	2125097	6.104445216
505067	2125097	6.114085362
505167	2125097	6.123765648
505267	2125097	6.133485866
505367	2125097	6.143245809
505467	2125097	6.153045273
505567	2125097	6.162884052
505667	2125097	6.172761943
505767	2125097	6.182678745
505867	2125097	6.192634257
505967	2125097	6.202628278
506067	2125097	6.212660609
506167	2125097	6.222731054
506267	2125097	6.232839414
506367	2125097	6.242985495
501967	2125197	5.818789842
502067	2125197	5.827149145
502167	2125197	5.835555349
502267	2125197	5.844008212
502367	2125197	5.852507492
502467	2125197	5.861052952
502567	2125197	5.869644352
502667	2125197	5.878281454
502767	2125197	5.886964023
502867	2125197	5.895691823
502967	2125197	5.90446462
503067	2125197	5.913282182
503167	2125197	5.922144275
503267	2125197	5.93105067
503367	2125197	5.940001137
503467	2125197	5.948995446
503567	2125197	5.958033372
503667	2125197	5.967114686
503767	2125197	5.976239164
503867	2125197	5.985406582
503967	2125197	5.994616717
504067	2125197	6.003869347
504167	2125197	6.013164252
504267	2125197	6.02250121
504367	2125197	6.031880005
504467	2125197	6.041300419
504567	2125197	6.050762235
504667	2125197	6.060265238
504767	2125197	6.069809215
504867	2125197	6.079393952
504967	2125197	6.089019238
505067	2125197	6.098684862
505167	2125197	6.108390615
505267	2125197	6.118136288
505367	2125197	6.127921674
505467	2125197	6.137746566
505567	2125197	6.14761076
505667	2125197	6.157514052
505767	2125197	6.167456239
505867	2125197	6.177437119
505967	2125197	6.187456492
506067	2125197	6.197514157
506167	2125197	6.207609917
506267	2125197	6.217743575
501867	2125297	5.794280293
501967	2125297	5.802617889
502067	2125297	5.81100265
502167	2125297	5.819434333
502267	2125297	5.827912693
502367	2125297	5.83643749
502467	2125297	5.845008482
502567	2125297	5.853625429
502667	2125297	5.862288093
502767	2125297	5.870996236
502867	2125297	5.879749622
502967	2125297	5.888548015
503067	2125297	5.897391181
503167	2125297	5.906278887
503267	2125297	5.915210901
503367	2125297	5.924186992
503467	2125297	5.933206931
503567	2125297	5.942270488
503667	2125297	5.951377436
503767	2125297	5.96052755
503867	2125297	5.969720603
503967	2125297	5.978956372
504067	2125297	5.988234634
504167	2125297	5.997555167
504267	2125297	6.006917751
504367	2125297	6.016322166
504467	2125297	6.025768193
504567	2125297	6.035255617
504667	2125297	6.04478422
504767	2125297	6.054353787
504867	2125297	6.063964106
504967	2125297	6.073614963
505067	2125297	6.083306148
505167	2125297	6.093037449
505267	2125297	6.102808657
505367	2125297	6.112619565
505467	2125297	6.122469965
505567	2125297	6.132359653
505667	2125297	6.142288422
505767	2125297	6.152256069
505867	2125297	6.162262393
505967	2125297	6.172307192
506067	2125297	6.182390265
506167	2125297	6.192511413
506267	2125297	6.202670439
501767	2125397	5.769786032
501867	2125397	5.778101744
501967	2125397	5.786464889
502067	2125397	5.794875221
502167	2125397	5.803332494
502267	2125397	5.811836463
502367	2125397	5.820386885
502467	2125397	5.828983517
502567	2125397	5.83762612
502667	2125397	5.846314452
502767	2125397	5.855048275
502867	2125397	5.86382735
502967	2125397	5.872651442
503067	2125397	5.881520316
503167	2125397	5.890433735
503267	2125397	5.899391468
503367	2125397	5.908393283
503467	2125397	5.917438948
503567	2125397	5.926528234
503667	2125397	5.935660913
503767	2125397	5.944836756
503867	2125397	5.954055538
503967	2125397	5.963317034
504067	2125397	5.97262102
504167	2125397	5.981967273
504267	2125397	5.991355572
504367	2125397	6.000785696
504467	2125397	6.010257425
504567	2125397	6.019770543
504667	2125397	6.029324832
504767	2125397	6.038920075
504867	2125397	6.04855606
504967	2125397	6.058232572
505067	2125397	6.067949398
505167	2125397	6.077706329
505267	2125397	6.087503154
505367	2125397	6.097339663
505467	2125397	6.10721565
505567	2125397	6.117130908
505667	2125397	6.127085231
505767	2125397	6.137078415
505867	2125397	6.147110257
505967	2125397	6.157180556
506067	2125397	6.167289109
506167	2125397	6.177435719
506267	2125397	6.187620184
501667	2125497	5.745307214
501767	2125497	5.753600865
501867	2125497	5.761942219
501967	2125497	5.770331028
502067	2125497	5.778767043
502167	2125497	5.787250017
502267	2125497	5.795779705
502367	2125497	5.804355862
502467	2125497	5.812978244
502567	2125497	5.821646609
502667	2125497	5.830360716
502767	2125497	5.839120323
502867	2125497	5.847925193
502967	2125497	5.856775087
503067	2125497	5.86566977
503167	2125497	5.874609004
503267	2125497	5.883592556
503367	2125497	5.892620193
503467	2125497	5.901691683
503567	2125497	5.910806795
503667	2125497	5.9199653
503767	2125497	5.929166968
503867	2125497	5.938411573
503967	2125497	5.947698889
504067	2125497	5.957028691
504167	2125497	5.966400754
504267	2125497	5.975814857
504367	2125497	5.985270779
504467	2125497	5.994768298
504567	2125497	6.004307197
504667	2125497	6.013887257
504767	2125497	6.023508262
504867	2125497	6.033169996
504967	2125497	6.042872245
505067	2125497	6.052614796
505167	2125497	6.062397438
505267	2125497	6.072219958
505367	2125497	6.082082148
505467	2125497	6.0919838
505567	2125497	6.101924705
505667	2125497	6.111904659
505767	2125497	6.121923455
505867	2125497	6.13198089
505967	2125497	6.142076762
506067	2125497	6.152210869
506167	2125497	6.162383011
501567	2125597	5.720844001
501667	2125597	5.729115409
501767	2125597	5.737434794
501867	2125597	5.745801905
501967	2125597	5.754216491
502067	2125597	5.762678303
502167	2125597	5.771187091
502267	2125597	5.779742609
502367	2125597	5.78834461
502467	2125597	5.79699285
502567	2125597	5.805687085
502667	2125597	5.814427072
502767	2125597	5.82321257
502867	2125597	5.832043338
502967	2125597	5.840919138
503067	2125597	5.849839731
503167	2125597	5.858804881
503267	2125597	5.867814353
503367	2125597	5.876867911
503467	2125597	5.885965324
503567	2125597	5.895106358
503667	2125597	5.904290784
503767	2125597	5.913518372
503867	2125597	5.922788894
503967	2125597	5.932102122
504067	2125597	5.941457831
504167	2125597	5.950855796
504267	2125597	5.960295793
504367	2125597	5.969777601
504467	2125597	5.979300998
504567	2125597	5.988865764
504667	2125597	5.998471681
504767	2125597	6.008118531
504867	2125597	6.017806099
504967	2125597	6.027534168
505067	2125597	6.037302525
