x	y	error_car_pre_inf
503867	2125197	0.907390995
503967	2125197	0.907879073
504067	2125197	0.90837593
504167	2125197	0.908881551
504267	2125197	0.909395923
504367	2125197	0.909919033
504467	2125197	0.910450865
504567	2125197	0.910991406
504667	2125197	0.91154064
504767	2125197	0.912098552
504867	2125197	0.912665125
504967	2125197	0.913240344
505067	2125197	0.913824192
505167	2125197	0.914416653
505267	2125197	0.915017709
505367	2125197	0.915627342
505467	2125197	0.916245535
505567	2125197	0.91687227
505667	2125197	0.917507528
505767	2125197	0.918151291
505867	2125197	0.91880354
505967	2125197	0.919464256
506067	2125197	0.920133418
506167	2125197	0.920811007
506267	2125197	0.921497004
501867	2125297	0.89711337
501967	2125297	0.897423557
502067	2125297	0.897742735
502167	2125297	0.8980709
502267	2125297	0.898408048
502367	2125297	0.898754174
502467	2125297	0.899109273
502567	2125297	0.89947334
502667	2125297	0.899846367
502767	2125297	0.900228348
502867	2125297	0.900619276
502967	2125297	0.901019142
503067	2125297	0.901427937
503167	2125297	0.901845653
503267	2125297	0.90227228
503367	2125297	0.902707808
503467	2125297	0.903152227
503567	2125297	0.903605525
503667	2125297	0.904067692
503767	2125297	0.904538715
503867	2125297	0.905018582
503967	2125297	0.90550728
504067	2125297	0.906004796
504167	2125297	0.906511117
504267	2125297	0.907026228
504367	2125297	0.907550116
504467	2125297	0.908082766
504567	2125297	0.908624162
504667	2125297	0.909174288
504767	2125297	0.90973313
504867	2125297	0.910300671
504967	2125297	0.910876894
505067	2125297	0.911461783
505167	2125297	0.91205532
505267	2125297	0.912657488
505367	2125297	0.913268269
505467	2125297	0.913887645
505567	2125297	0.914515597
505667	2125297	0.915152107
505767	2125297	0.915797155
505867	2125297	0.916450723
505967	2125297	0.91711279
506067	2125297	0.917783337
506167	2125297	0.918462344
506267	2125297	0.91914979
501767	2125397	0.894435946
501867	2125397	0.89473684
501967	2125397	0.895046777
502067	2125397	0.895365752
502167	2125397	0.895693762
502267	2125397	0.896030802
502367	2125397	0.896376868
502467	2125397	0.896731953
502567	2125397	0.897096051
502667	2125397	0.897469155
502767	2125397	0.897851259
502867	2125397	0.898242354
502967	2125397	0.898642431
503067	2125397	0.899051482
503167	2125397	0.899469498
503267	2125397	0.899896468
503367	2125397	0.900332382
503467	2125397	0.90077723
503567	2125397	0.901230999
503667	2125397	0.901693678
503767	2125397	0.902165255
503867	2125397	0.902645716
503967	2125397	0.90313505
504067	2125397	0.903633242
504167	2125397	0.904140279
504267	2125397	0.904656146
504367	2125397	0.905180828
504467	2125397	0.905714311
504567	2125397	0.906256578
504667	2125397	0.906807615
504767	2125397	0.907367404
504867	2125397	0.907935929
504967	2125397	0.908513174
505067	2125397	0.909099121
505167	2125397	0.909693752
505267	2125397	0.91029705
505367	2125397	0.910908996
505467	2125397	0.911529572
505567	2125397	0.912158759
505667	2125397	0.912796538
505767	2125397	0.91344289
505867	2125397	0.914097794
505967	2125397	0.914761232
506067	2125397	0.915433182
506167	2125397	0.916113624
506267	2125397	0.916802538
501667	2125497	0.891767469
501767	2125497	0.892058982
501867	2125497	0.892359588
501967	2125497	0.892669285
502067	2125497	0.892988068
502167	2125497	0.893315935
