x	y	error_coe_com_inf
503367	2124997	0.631801182
503467	2124997	0.632973242
503567	2124997	0.634149171
503667	2124997	0.635328943
503767	2124997	0.636512535
503867	2124997	0.637699921
503967	2124997	0.638891077
504067	2124997	0.640085978
504167	2124997	0.6412846
504267	2124997	0.64248692
504367	2124997	0.643692912
504467	2124997	0.644902554
504567	2124997	0.64611582
504667	2124997	0.647332687
504767	2124997	0.648553132
504867	2124997	0.649777131
504967	2124997	0.65100466
505067	2124997	0.652235697
505167	2124997	0.653470217
505267	2124997	0.654708198
505367	2124997	0.655949617
505467	2124997	0.657194451
505567	2124997	0.658442677
505667	2124997	0.659694272
505767	2124997	0.660949214
505867	2124997	0.662207481
505967	2124997	0.66346905
506067	2124997	0.664733899
506167	2124997	0.666002006
506267	2124997	0.667273349
506367	2124997	0.668547906
502067	2125097	0.615414797
502167	2125097	0.616537169
502267	2125097	0.61766374
502367	2125097	0.618794487
502467	2125097	0.619929383
502567	2125097	0.621068401
502667	2125097	0.622211517
502767	2125097	0.623358704
502867	2125097	0.624509938
502967	2125097	0.625665191
503067	2125097	0.62682444
503167	2125097	0.627987658
503267	2125097	0.62915482
503367	2125097	0.630325902
503467	2125097	0.631500877
503567	2125097	0.63267972
503667	2125097	0.633862408
503767	2125097	0.635048915
503867	2125097	0.636239216
503967	2125097	0.637433286
504067	2125097	0.638631101
504167	2125097	0.639832637
504267	2125097	0.641037869
504367	2125097	0.642246773
504467	2125097	0.643459324
504567	2125097	0.644675499
504667	2125097	0.645895274
504767	2125097	0.647118624
504867	2125097	0.648345527
504967	2125097	0.649575958
505067	2125097	0.650809895
505167	2125097	0.652047313
505267	2125097	0.653288189
505367	2125097	0.654532501
505467	2125097	0.655780225
505567	2125097	0.657031338
505667	2125097	0.658285818
505767	2125097	0.659543642
505867	2125097	0.660804787
505967	2125097	0.662069231
506067	2125097	0.663336952
506167	2125097	0.664607928
506267	2125097	0.665882136
506367	2125097	0.667159555
501967	2125197	0.612782677
502067	2125197	0.613903726
502167	2125197	0.615029005
502267	2125197	0.616158488
502367	2125197	0.617292147
502467	2125197	0.618429958
502567	2125197	0.619571894
502667	2125197	0.620717929
502767	2125197	0.621868038
502867	2125197	0.623022193
502967	2125197	0.624180371
503067	2125197	0.625342544
503167	2125197	0.626508688
503267	2125197	0.627678777
503367	2125197	0.628852785
503467	2125197	0.630030688
503567	2125197	0.63121246
503667	2125197	0.632398075
503767	2125197	0.633587509
503867	2125197	0.634780737
503967	2125197	0.635977734
504067	2125197	0.637178475
504167	2125197	0.638382936
504267	2125197	0.639591093
504367	2125197	0.640802919
504467	2125197	0.642018393
504567	2125197	0.643237488
504667	2125197	0.644460181
504767	2125197	0.645686449
504867	2125197	0.646916267
504967	2125197	0.648149611
505067	2125197	0.649386458
505167	2125197	0.650626785
505267	2125197	0.651870567
505367	2125197	0.653117782
505467	2125197	0.654368407
505567	2125197	0.655622418
505667	2125197	0.656879793
505767	2125197	0.658140509
505867	2125197	0.659404543
505967	2125197	0.660671873
506067	2125197	0.661942475
506167	2125197	0.663216329
506267	2125197	0.664493412
501867	2125297	0.610150984
501967	2125297	0.611270694
502067	2125297	0.612394662
502167	2125297	0.613522863
502267	2125297	0.61465527
502367	2125297	0.615791856
502467	2125297	0.616932596
502567	2125297	0.618077463
502667	2125297	0.619226431
502767	2125297	0.620379474
502867	2125297	0.621536565
502967	2125297	0.62269768
503067	2125297	0.623862791
503167	2125297	0.625031874
503267	2125297	0.626204902
503367	2125297	0.627381851
503467	2125297	0.628562693
503567	2125297	0.629747405
503667	2125297	0.630935961
503767	2125297	0.632128335
503867	2125297	0.633324503
503967	2125297	0.634524439
504067	2125297	0.635728118
504167	2125297	0.636935516
504267	2125297	0.638146609
504367	2125297	0.63936137
504467	2125297	0.640579777
504567	2125297	0.641801804
504667	2125297	0.643027428
504767	2125297	0.644256624
504867	2125297	0.645489368
504967	2125297	0.646725636
505067	2125297	0.647965405
505167	2125297	0.649208651
505267	2125297	0.65045535
505367	2125297	0.65170548
505467	2125297	0.652959016
505567	2125297	0.654215936
505667	2125297	0.655476216
505767	2125297	0.656739834
505867	2125297	0.658006766
505967	2125297	0.659276991
506067	2125297	0.660550486
506167	2125297	0.661827228
506267	2125297	0.663107195
501767	2125397	0.60751973
501867	2125397	0.608638081
501967	2125397	0.60976072
502067	2125397	0.610887621
502167	2125397	0.612018758
502267	2125397	0.613154103
502367	2125397	0.61429363
502467	2125397	0.615437313
502567	2125397	0.616585125
502667	2125397	0.617737039
502767	2125397	0.61889303
502867	2125397	0.620053071
502967	2125397	0.621217135
503067	2125397	0.622385198
503167	2125397	0.623557233
503267	2125397	0.624733214
503367	2125397	0.625913115
503467	2125397	0.627096911
503567	2125397	0.628284576
503667	2125397	0.629476084
503767	2125397	0.630671411
503867	2125397	0.63187053
503967	2125397	0.633073417
504067	2125397	0.634280047
504167	2125397	0.635490395
504267	2125397	0.636704435
504367	2125397	0.637922143
504467	2125397	0.639143495
504567	2125397	0.640368466
504667	2125397	0.641597031
504767	2125397	0.642829167
504867	2125397	0.644064848
504967	2125397	0.645304052
505067	2125397	0.646546754
505167	2125397	0.64779293
505267	2125397	0.649042557
505367	2125397	0.650295612
505467	2125397	0.65155207
505567	2125397	0.652811908
505667	2125397	0.654075104
505767	2125397	0.655341634
505867	2125397	0.656611476
505967	2125397	0.657884606
506067	2125397	0.659161002
506167	2125397	0.660440642
506267	2125397	0.661723503
