x	y	tasa_hundim
505267	2124397	-0.1200219
505367	2124397	-0.1101074
505467	2124397	-0.1275876
505567	2124397	-0.1480505
505667	2124397	-0.1433713
505767	2124397	-0.1606457
505867	2124397	-0.1518206
505967	2124397	-0.1537657
506067	2124397	-0.1492859
506167	2124397	-0.1399013
506267	2124397	-0.1402511
506367	2124397	-0.1476474
506467	2124397	-0.1592517
506567	2124397	-0.1838639
503067	2124497	-0.0621902
503167	2124497	-0.0727838
503267	2124497	-0.077318
503367	2124497	-0.0615358
503467	2124497	-0.0634119
503567	2124497	-0.0841406
503667	2124497	-0.0815065
503767	2124497	-0.0915042
503867	2124497	-0.0873922
503967	2124497	-0.0893447
504067	2124497	-0.0988124
504167	2124497	-0.0990661
504267	2124497	-0.0995608
504367	2124497	-0.0956282
504467	2124497	-0.0981483
504567	2124497	-0.1007448
504667	2124497	-0.1028051
504767	2124497	-0.1034955
504867	2124497	-0.1005249
504967	2124497	-0.1076066
505067	2124497	-0.1221023
505167	2124497	-0.1332917
505267	2124497	-0.1345447
505367	2124497	-0.1411985
505467	2124497	-0.1448201
505567	2124497	-0.1896284
505667	2124497	-0.1985071
505767	2124497	-0.1830911
505867	2124497	-0.1870088
505967	2124497	-0.2113412
506067	2124497	-0.1775944
506167	2124497	-0.1617056
506267	2124497	-0.1628243
506367	2124497	-0.1730261
506467	2124497	-0.1612419
506567	2124497	-0.1759762
502967	2124597	-0.0580326
503067	2124597	-0.0820222
503167	2124597	-0.0815092
503267	2124597	-0.0719211
503367	2124597	-0.0655724
503467	2124597	-0.0649063
503567	2124597	-0.1086906
503667	2124597	-0.0843613
503767	2124597	-0.083379
503867	2124597	-0.1064671
503967	2124597	-0.0992134
504067	2124597	-0.109882
504167	2124597	-0.1001523
504267	2124597	-0.1007885
504367	2124597	-0.1079466
504467	2124597	-0.1035173
504567	2124597	-0.1123349
504667	2124597	-0.1130576
504767	2124597	-0.1078105
504867	2124597	-0.1064922
504967	2124597	-0.1154111
505067	2124597	-0.1346208
505167	2124597	-0.1402842
505267	2124597	-0.1363329
505367	2124597	-0.1452036
505467	2124597	-0.1611139
505567	2124597	-0.1869156
505667	2124597	-0.2009189
505767	2124597	-0.1977167
505867	2124597	-0.2085581
505967	2124597	-0.2136235
506067	2124597	-0.2013498
506167	2124597	-0.1790372
506267	2124597	-0.1853147
506367	2124597	-0.1833556
506467	2124597	-0.1840332
502667	2124697	-0.0802803
502767	2124697	-0.0660647
502867	2124697	-0.0586533
502967	2124697	-0.0584646
503067	2124697	-0.0790335
503167	2124697	-0.0789562
503267	2124697	-0.0770247
503367	2124697	-0.0941194
503467	2124697	-0.1032241
503567	2124697	-0.0951132
503667	2124697	-0.0979428
503767	2124697	-0.0978881
503867	2124697	-0.1106373
503967	2124697	-0.1288926
504067	2124697	-0.12835
504167	2124697	-0.1216115
504267	2124697	-0.1200771
504367	2124697	-0.1164854
504467	2124697	-0.1136945
504567	2124697	-0.1150569
504667	2124697	-0.1282674
504767	2124697	-0.1263656
504867	2124697	-0.1439854
504967	2124697	-0.1503011
505067	2124697	-0.1681111
505167	2124697	-0.1749509
505267	2124697	-0.1610278
505367	2124697	-0.1569369
505467	2124697	-0.1719431
505567	2124697	-0.1865009
505667	2124697	-0.221524
505767	2124697	-0.2389213
505867	2124697	-0.2491335
505967	2124697	-0.261046
506067	2124697	-0.2354194
506167	2124697	-0.2240947
506267	2124697	-0.2164087
506367	2124697	-0.1829458
506467	2124697	-0.1798407
502367	2124797	-0.1278953
502467	2124797	-0.1250059
502567	2124797	-0.1073121
502667	2124797	-0.0925388
502767	2124797	-0.0731357
