x	y	car_pre_tot
505267	2124997	5.38325232
505367	2124997	5.394362191
505467	2124997	5.405514067
505567	2124997	5.416707687
505667	2124997	5.427942792
505767	2124997	5.439219124
505867	2124997	5.450536425
505967	2124997	5.46189444
506067	2124997	5.473292913
506167	2124997	5.484731591
506267	2124997	5.496210223
506367	2124997	5.507728556
502067	2125097	5.035825469
502167	2125097	5.04547671
502267	2125097	5.055178917
502367	2125097	5.064931797
502467	2125097	5.074735053
502567	2125097	5.084588394
502667	2125097	5.094491527
502767	2125097	5.10444416
502867	2125097	5.114446002
502967	2125097	5.124496762
503067	2125097	5.134596152
503167	2125097	5.144743883
503267	2125097	5.154939668
503367	2125097	5.165183221
503467	2125097	5.175474255
503567	2125097	5.185812486
503667	2125097	5.19619763
503767	2125097	5.206629405
503867	2125097	5.217107529
503967	2125097	5.227631722
504067	2125097	5.238201704
504167	2125097	5.248817196
504267	2125097	5.259477921
504367	2125097	5.270183603
504467	2125097	5.280933967
504567	2125097	5.291728738
504667	2125097	5.302567644
504767	2125097	5.313450412
504867	2125097	5.324376773
504967	2125097	5.335346456
505067	2125097	5.346359194
505167	2125097	5.357414719
505267	2125097	5.368512766
505367	2125097	5.379653069
505467	2125097	5.390835365
505567	2125097	5.402059393
505667	2125097	5.41332489
505767	2125097	5.424631598
505867	2125097	5.435979258
505967	2125097	5.447367612
506067	2125097	5.458796405
506167	2125097	5.470265381
506267	2125097	5.481774288
506367	2125097	5.493322874
501967	2125197	5.010505821
502067	2125197	5.020135859
502167	2125197	5.029817204
502267	2125197	5.03954956
502367	2125197	5.049332628
502467	2125197	5.059166113
502567	2125197	5.069049719
502667	2125197	5.078983152
502767	2125197	5.088966118
502867	2125197	5.098998324
502967	2125197	5.109079477
503067	2125197	5.119209287
503167	2125197	5.129387463
503267	2125197	5.139613716
503367	2125197	5.149887758
503467	2125197	5.1602093
503567	2125197	5.170578056
503667	2125197	5.180993742
503767	2125197	5.191456072
503867	2125197	5.201964763
503967	2125197	5.212519533
504067	2125197	5.2231201
504167	2125197	5.233766184
504267	2125197	5.244457507
504367	2125197	5.25519379
504467	2125197	5.265974756
504567	2125197	5.27680013
504667	2125197	5.287669637
504767	2125197	5.298583004
504867	2125197	5.309539959
504967	2125197	5.32054023
505067	2125197	5.331583548
505167	2125197	5.342669644
505267	2125197	5.353798252
505367	2125197	5.364969104
505467	2125197	5.376181936
505567	2125197	5.387436484
505667	2125197	5.398732487
505767	2125197	5.410069682
505867	2125197	5.421447811
505967	2125197	5.432866614
506067	2125197	5.444325835
506167	2125197	5.455825217
506267	2125197	5.467364506
501867	2125297	4.985198362
501967	2125297	4.994806956
502067	2125297	5.004467203
502167	2125297	5.014178802
502267	2125297	5.023941454
502367	2125297	5.03375486
502467	2125297	5.04361872
502567	2125297	5.053532738
502667	2125297	5.063496616
502767	2125297	5.073510059
502867	2125297	5.083572772
502967	2125297	5.093684461
503067	2125297	5.103844832
503167	2125297	5.114053593
