x	y	error_car_pre_dur
505467	2124497	1.590797908
505567	2124497	1.59346135
505667	2124497	1.596134032
505767	2124497	1.598815903
505867	2124497	1.601506911
505967	2124497	1.604207009
506067	2124497	1.606916145
506167	2124497	1.609634272
506267	2124497	1.61236134
506367	2124497	1.6150973
506467	2124497	1.617842105
506567	2124497	1.620595706
502967	2124597	1.523440063
503067	2124597	1.525861888
503167	2124597	1.528294319
503267	2124597	1.530737299
503367	2124597	1.533190767
503467	2124597	1.535654666
503567	2124597	1.538128936
503667	2124597	1.54061352
503767	2124597	1.543108361
503867	2124597	1.545613401
503967	2124597	1.548128583
504067	2124597	1.55065385
504167	2124597	1.553189148
504267	2124597	1.555734419
504367	2124597	1.558289609
504467	2124597	1.560854662
504567	2124597	1.563429523
504667	2124597	1.566014139
504767	2124597	1.568608456
504867	2124597	1.571212419
504967	2124597	1.573825975
505067	2124597	1.576449072
505167	2124597	1.579081657
505267	2124597	1.581723677
505367	2124597	1.58437508
505467	2124597	1.587035816
505567	2124597	1.589705833
505667	2124597	1.592385079
505767	2124597	1.595073505
505867	2124597	1.59777106
505967	2124597	1.600477694
506067	2124597	1.603193357
506167	2124597	1.605918001
506267	2124597	1.608651576
506367	2124597	1.611394033
506467	2124597	1.614145326
502667	2124697	1.512295451
502767	2124697	1.514691879
502867	2124697	1.51709909
502967	2124697	1.519517025
503067	2124697	1.521945622
503167	2124697	1.524384821
503267	2124697	1.526834563
503367	2124697	1.529294789
503467	2124697	1.531765438
503567	2124697	1.534246454
503667	2124697	1.536737778
503767	2124697	1.539239352
503867	2124697	1.541751118
503967	2124697	1.54427302
504067	2124697	1.546805001
504167	2124697	1.549347005
504267	2124697	1.551898975
504367	2124697	1.554460856
504467	2124697	1.557032592
504567	2124697	1.55961413
504667	2124697	1.562205414
504767	2124697	1.56480639
504867	2124697	1.567417005
504967	2124697	1.570037204
505067	2124697	1.572666936
505167	2124697	1.575306146
505267	2124697	1.577954783
505367	2124697	1.580612795
505467	2124697	1.58328013
505567	2124697	1.585956736
505667	2124697	1.588642562
505767	2124697	1.591337559
505867	2124697	1.594041675
505967	2124697	1.59675486
506067	2124697	1.599477065
506167	2124697	1.60220824
506267	2124697	1.604948337
506367	2124697	1.607697306
