x	y	error_coe_com_dur
505167	2125197	0.301827726
505267	2125197	0.302456694
505367	2125197	0.30308838
505467	2125197	0.303722765
505567	2125197	0.304359832
505667	2125197	0.304999563
505767	2125197	0.305641941
505867	2125197	0.306286948
505967	2125197	0.306934567
506067	2125197	0.307584781
506167	2125197	0.308237572
506267	2125197	0.308892924
501867	2125297	0.281780289
501967	2125297	0.282311013
502067	2125297	0.282845075
502167	2125297	0.283382458
502267	2125297	0.283923141
502367	2125297	0.284467105
502467	2125297	0.285014331
502567	2125297	0.2855648
502667	2125297	0.286118491
502767	2125297	0.286675386
502867	2125297	0.287235465
502967	2125297	0.287798709
503067	2125297	0.288365099
503167	2125297	0.288934615
503267	2125297	0.289507239
503367	2125297	0.290082951
503467	2125297	0.290661733
503567	2125297	0.291243565
503667	2125297	0.291828428
503767	2125297	0.292416303
503867	2125297	0.293007171
503967	2125297	0.293601015
504067	2125297	0.294197814
504167	2125297	0.29479755
504267	2125297	0.295400205
504367	2125297	0.296005759
504467	2125297	0.296614195
504567	2125297	0.297225494
504667	2125297	0.297839637
504767	2125297	0.298456606
504867	2125297	0.299076383
504967	2125297	0.29969895
505067	2125297	0.300324288
505167	2125297	0.30095238
505267	2125297	0.301583207
505367	2125297	0.302216752
505467	2125297	0.302852997
505567	2125297	0.303491923
505667	2125297	0.304133514
505767	2125297	0.304777752
505867	2125297	0.305424618
505967	2125297	0.306074097
506067	2125297	0.30672617
506167	2125297	0.307380819
506267	2125297	0.308038029
501767	2125397	0.280316708
501867	2125397	0.280845843
501967	2125397	0.281378341
502067	2125397	0.281914185
502167	2125397	0.282453354
502267	2125397	0.282995828
502367	2125397	0.283541588
502467	2125397	0.284090615
502567	2125397	0.284642888
502667	2125397	0.285198388
502767	2125397	0.285757097
502867	2125397	0.286318993
502967	2125397	0.286884059
503067	2125397	0.287452273
503167	2125397	0.288023618
503267	2125397	0.288598074
503367	2125397	0.289175621
503467	2125397	0.28975624
503567	2125397	0.290339912
503667	2125397	0.290926619
503767	2125397	0.29151634
503867	2125397	0.292109057
503967	2125397	0.29270475
504067	2125397	0.293303402
504167	2125397	0.293904993
504267	2125397	0.294509504
504367	2125397	0.295116916
504467	2125397	0.295727212
504567	2125397	0.296340371
504667	2125397	0.296956377
504767	2125397	0.297575209
504867	2125397	0.298196851
504967	2125397	0.298821283
505067	2125397	0.299448487
505167	2125397	0.300078446
505267	2125397	0.30071114
505367	2125397	0.301346553
505467	2125397	0.301984665
505567	2125397	0.30262546
505667	2125397	0.303268918
505767	2125397	0.303915024
505867	2125397	0.304563758
505967	2125397	0.305215104
506067	2125397	0.305869044
506167	2125397	0.306525561
