x	y	error_coe_com_sup
503567	2125197	0.850138852
503667	2125197	0.847283415
503767	2125197	0.844456973
503867	2125197	0.84166008
503967	2125197	0.838893285
504067	2125197	0.836157132
504167	2125197	0.833452162
504267	2125197	0.830778909
504367	2125197	0.828137902
504467	2125197	0.825529662
504567	2125197	0.822954708
504667	2125197	0.820413549
504767	2125197	0.817906688
504867	2125197	0.815434619
504967	2125197	0.812997831
505067	2125197	0.810596804
505167	2125197	0.808232008
505267	2125197	0.805903906
505367	2125197	0.80361295
505467	2125197	0.801359585
505567	2125197	0.799144244
505667	2125197	0.796967351
505767	2125197	0.794829318
505867	2125197	0.792730548
505967	2125197	0.790671432
506067	2125197	0.788652348
506167	2125197	0.786673664
506267	2125197	0.784735736
501867	2125297	0.89979671
501967	2125297	0.896506197
502067	2125297	0.893234993
502167	2125297	0.889983691
502267	2125297	0.886752881
502367	2125297	0.883543156
502467	2125297	0.880355109
502567	2125297	0.877189331
502667	2125297	0.874046412
502767	2125297	0.870926943
502867	2125297	0.867831513
502967	2125297	0.86476071
503067	2125297	0.861715119
503167	2125297	0.858695326
503267	2125297	0.855701912
503367	2125297	0.852735457
503467	2125297	0.849796538
503567	2125297	0.846885729
503667	2125297	0.844003602
503767	2125297	0.841150723
503867	2125297	0.838327655
503967	2125297	0.835534958
504067	2125297	0.832773186
504167	2125297	0.830042888
504267	2125297	0.827344609
504367	2125297	0.824678887
504467	2125297	0.822046255
504567	2125297	0.819447239
504667	2125297	0.816882359
504767	2125297	0.814352126
504867	2125297	0.811857046
504967	2125297	0.809397616
505067	2125297	0.806974325
505167	2125297	0.804587653
505267	2125297	0.802238072
505367	2125297	0.799926043
505467	2125297	0.79765202
505567	2125297	0.795416443
505667	2125297	0.793219747
505767	2125297	0.79106235
505867	2125297	0.788944665
505967	2125297	0.786867088
506067	2125297	0.784830008
506167	2125297	0.782833799
506267	2125297	0.780878822
501767	2125397	0.900369681
501867	2125397	0.897030486
501967	2125397	0.8937101
502067	2125397	0.890409124
502167	2125397	0.887128156
502267	2125397	0.883867798
502367	2125397	0.88062865
502467	2125397	0.877411311
502567	2125397	0.874216384
502667	2125397	0.871044467
502767	2125397	0.867896159
502867	2125397	0.864772058
502967	2125397	0.861672762
503067	2125397	0.858598865
503167	2125397	0.855550962
503267	2125397	0.852529643
503367	2125397	0.8495355
503467	2125397	0.846569117
503567	2125397	0.843631079
503667	2125397	0.840721967
503767	2125397	0.837842357
503867	2125397	0.834992823
503967	2125397	0.832173934
504067	2125397	0.829386255
504167	2125397	0.826630344
504267	2125397	0.823906756
504367	2125397	0.821216039
504467	2125397	0.818558737
504567	2125397	0.815935384
504667	2125397	0.813346512
504767	2125397	0.810792641
504867	2125397	0.808274288
504967	2125397	0.805791957
505067	2125397	0.803346149
505167	2125397	0.800937353
505267	2125397	0.798566049
505367	2125397	0.79623271
505467	2125397	0.793937796
505567	2125397	0.791681759
505667	2125397	0.789465039
505767	2125397	0.787288067
505867	2125397	0.78515126
505967	2125397	0.783055025
506067	2125397	0.780999757
506167	2125397	0.778985838
506267	2125397	0.777013638
501667	2125497	0.901025027
501767	2125497	0.897637288
501867	2125497	0.894267842
501967	2125497	0.890917296
502067	2125497	0.887586256
502167	2125497	0.884275332
502267	2125497	0.880985132
502367	2125497	0.877716265
502467	2125497	0.87446934
502567	2125497	0.871244966
502667	2125497	0.868043752
502767	2125497	0.864866306
502867	2125497	0.861713235
502967	2125497	0.858585145
503067	2125497	0.855482641
503167	2125497	0.852406327
503267	2125497	0.849356803
503367	2125497	0.84633467
503467	2125497	0.843340523
503567	2125497	0.840374956
503667	2125497	0.83743856
503767	2125497	0.834531923
503867	2125497	0.831655626
503967	2125497	0.828810251
504067	2125497	0.825996371
504167	2125497	0.823214556
504267	2125497	0.820465371
504367	2125497	0.817749374
504467	2125497	0.815067119
504567	2125497	0.812419151
504667	2125497	0.809806011
504767	2125497	0.807228231
504867	2125497	0.804686336
504967	2125497	0.802180842
505067	2125497	0.799712258
505167	2125497	0.797281084
505267	2125497	0.794887811
505367	2125497	0.792532918
